studyid,workflowid,groupid,n,numerator,denominator,metric,score,flag
AA-AA-000-0000,kri0001,X228X,1,7,3745,0.001869159,-1.432089609,0
AA-AA-000-0000,kri0001,X179X,4,15,8200,0.001829268,-1.624630063,0
AA-AA-000-0000,kri0001,X058X,7,28,15533,0.001802614,-1.694633728,0
AA-AA-000-0000,kri0001,X204X,7,27,15107,0.001787251,-1.739393294,0
AA-AA-000-0000,kri0001,X010X,28,40,22559,0.001773128,-1.722422344,0
AA-AA-000-0000,kri0001,X065X,3,14,8047,0.001739779,-1.799463348,0
AA-AA-000-0000,kri0001,X234X,2,6,3459,0.001734605,-1.584507021,0
AA-AA-000-0000,kri0001,X128X,58,211,122512,0.00172228,-0.255072193,0
AA-AA-000-0000,kri0001,X103X,3,9,5476,0.001643535,-1.867503988,0
AA-AA-000-0000,kri0001,X088X,3,15,9360,0.001602564,-2.126656975,0
AA-AA-000-0000,kri0001,X094X,5,15,9787,0.001532645,-2.300485186,0
AA-AA-000-0000,kri0001,X097X,5,12,7881,0.001522649,-2.231927986,0
AA-AA-000-0000,kri0001,X151X,6,20,13222,0.00151263,-2.467395782,0
AA-AA-000-0000,kri0001,X024X,1,6,4121,0.001455957,-2.038065903,0
AA-AA-000-0000,kri0001,X230X,9,24,16945,0.001416347,-2.854663598,0
AA-AA-000-0000,kri0001,X076X,2,6,4296,0.001396648,-2.149460481,0
AA-AA-000-0000,kri0001,X232X,5,3,2180,0.001376147,-1.807966638,0
AA-AA-000-0000,kri0001,X133X,17,24,17518,0.001370019,-3.019969553,0
AA-AA-000-0000,kri0001,X148X,4,15,11273,0.001330613,-2.867208928,0
AA-AA-000-0000,kri0001,X135X,1,4,3023,0.001323189,-2.051111521,0
AA-AA-000-0000,kri0001,X183X,5,3,2292,0.001308901,-1.908852101,0
AA-AA-000-0000,kri0001,X143X,5,16,12317,0.001299018,-3.010685227,0
AA-AA-000-0000,kri0001,X165X,8,14,10840,0.001291513,-2.941512142,0
AA-AA-000-0000,kri0001,X214X,3,12,9400,0.001276596,-2.877143703,0
AA-AA-000-0000,kri0001,X207X,3,6,5055,0.001186944,-2.599552881,0
AA-AA-000-0000,kri0001,X082X,10,17,14558,0.001167743,-3.525036429,0
AA-AA-000-0000,kri0001,X038X,6,20,17889,0.001118005,-3.884116945,0
AA-AA-000-0000,kri0001,X209X,8,9,8339,0.001079266,-3.244457649,0
AA-AA-000-0000,kri0001,X011X,1,4,3773,0.001060164,-2.578268991,0
AA-AA-000-0000,kri0001,X119X,1,5,4832,0.001034768,-2.831721461,0
AA-AA-000-0000,kri0001,X070X,4,6,6213,0.000965717,-3.20496833,0
AA-AA-000-0000,kri0001,X117X,4,4,4237,0.000944064,-2.869676955,0
AA-AA-000-0000,kri0001,X156X,2,8,8542,0.000936549,-3.615419143,0
AA-AA-000-0000,kri0001,X217X,6,8,9151,0.000874221,-3.857520286,0
AA-AA-000-0000,kri0001,X015X,3,7,8125,0.000861538,-3.742965217,0
AA-AA-000-0000,kri0001,X025X,12,13,15197,0.000855432,-4.597957015,0
AA-AA-000-0000,kri0001,X144X,4,13,15920,0.000816583,-4.80531073,0
AA-AA-000-0000,kri0001,X152X,5,8,9881,0.000809635,-4.133863418,0
AA-AA-000-0000,kri0001,X061X,2,6,7507,0.000799254,-3.79730593,0
AA-AA-000-0000,kri0001,X031X,2,3,4807,0.00062409,-3.611590035,0
AA-AA-000-0000,kri0001,X116X,2,4,6666,0.00060006,-4.122842568,0
AA-AA-000-0000,kri0001,X191X,1,2,3653,0.000547495,-3.407879275,0
AA-AA-000-0000,kri0001,X014X,2,3,5637,0.000532198,-4.037062653,0
AA-AA-000-0000,kri0001,X043X,1,2,4916,0.000406835,-4.122124309,0
AA-AA-000-0000,kri0001,X122X,1,1,3694,0.000270709,-3.984655408,0
AA-AA-000-0000,kri0001,X225X,1,1,4022,0.000248633,-4.173415329,0
AA-AA-000-0000,kri0001,X020X,1,1,4509,0.000221779,-4.436670911,0
AA-AA-000-0000,kri0001,X099X,4,0,3150,0,-4.460249459,0
AA-AA-000-0000,kri0001,X113X,1,0,3053,0,-4.402095805,0
AA-AA-000-0000,kri0001,X216X,1,0,679,0,-2.342742885,0
AA-AA-000-0000,kri0001,X039X,1,0,49,0,-0.777472879,0
AA-AA-000-0000,kri0002,X183X,5,10,2292,0.004363002,7.938693558,1
AA-AA-000-0000,kri0002,X007X,1,1,219,0.00456621,2.52941436,0
AA-AA-000-0000,kri0002,X096X,1,1,407,0.002457002,2.276631761,0
AA-AA-000-0000,kri0002,X136X,4,3,6266,0.000478774,2.533944219,0
AA-AA-000-0000,kri0002,X032X,4,1,2172,0.000460405,1.440846882,0
AA-AA-000-0000,kri0002,X218X,1,2,4415,0.000453001,2.023366953,0
AA-AA-000-0000,kri0002,X158X,1,1,2261,0.000442282,1.417060065,0
AA-AA-000-0000,kri0002,X165X,8,4,10840,0.000369004,2.611628873,0
AA-AA-000-0000,kri0002,X210X,4,1,2847,0.000351247,1.276117577,0
AA-AA-000-0000,kri0002,X173X,8,2,6342,0.000315358,1.706773261,0
AA-AA-000-0000,kri0002,X102X,69,14,44631,0.000313683,4.496692268,0
AA-AA-000-0000,kri0002,X100X,6,1,3444,0.00029036,1.153577002,0
AA-AA-000-0000,kri0002,X172X,7,1,3931,0.000254388,1.064894354,0
AA-AA-000-0000,kri0002,X095X,6,1,4039,0.000247586,1.046342287,0
AA-AA-000-0000,kri0002,X050X,27,8,32927,0.000242962,2.917490569,0
AA-AA-000-0000,kri0002,X180X,10,2,8577,0.000233182,1.420167714,0
